037
Financial Times	financial times	PRO	PRO_460
Volvo Cars	volvo cars	ORG	ORG_632
Volvo Trucks	volvo trucks	ORG	ORG_632
Австралия	австралия	LOC	LOC_19
Андерс Тегнел	андерс тегна-(се)	PER	PER_633
Белгия	белгия	LOC	LOC_1
Великобритания	великобритания	LOC	LOC_6
Дания	дания	LOC	LOC_27
ЕС	ес	ORG	ORG_5
Европа	европа	LOC	LOC_49
Европейската комисия	европейски комисия	ORG	ORG_129
Испания	испания	LOC	LOC_10
Италия	италия	LOC	LOC_50
Нова Зеландия	нов зеландия	LOC	LOC_190
Норвегия	норвегия	LOC	LOC_12
Стокхолм	стокхолм	LOC	LOC_634
Тайван	тайван	LOC	LOC_538
Финландия	финландия	LOC	LOC_196
Франция	франция	LOC	LOC_20
Швеция	швеция	LOC	LOC_12
Южна Корея	южен корея	LOC	LOC_60
южноевропейците	южноевропеец	PER	PER_411
