032
COVID-19	covid-19	PRO	PRO_105
Благоевград	благоевград	LOC	LOC_283
Бургас	бургас	LOC	LOC_284
Варна	варна	LOC	LOC_274
Велико Търново	велик търново	LOC	LOC_287
Видин	видин	LOC	LOC_288
Враца	враца	LOC	LOC_539
Габрово	габрово	LOC	LOC_217
Добрич	добрич	LOC	LOC_289
Кърджали	кърджали	LOC	LOC_290
Кюстендил	кюстендил	LOC	LOC_291
Ловеч	ловеч	LOC	LOC_430
МБАЛ	мбал	LOC	LOC_541
Министерството	министерство	ORG	ORG_35
Монтана	монтана	LOC	LOC_100
Националния оперативен щаб	национален оперативен щаб	ORG	ORG_31
Пазарджик	пазарджик	LOC	LOC_292
Перник	перник	LOC	LOC_429
Плевен	плевен	LOC	LOC_216
Пловдив	пловдив	LOC	LOC_294
Русе	русе	LOC	LOC_540
Смолян	смолян	LOC	LOC_296
София	софия	LOC	LOC_144
Шумен	шумен	PER	PER_542
