099
COVID-19	covid-19	PRO	PRO_105
България	българия	LOC	LOC_1
Венцислав Мутафчийски	венцислав мутафчийски	PER	PER_124
Военномедицинската академия	военномедицински академия	ORG	ORG_34
Габрово	габрово	LOC	LOC_217
Иран	иран	LOC	LOC_177
Италия	италия	LOC	LOC_50
Канада	канада	LOC	LOC_78
Мутафчийски	мутафчийски	PER	PER_125
Националния оперативен щаб	национален оперативен щаб	ORG	ORG_31
Олимпиадата	олимпиада	EVT	EVT_215
Плевен	плевен	LOC	LOC_216
Р България	р българия	LOC	LOC_1
СЗО	сзо	ORG	ORG_86
София	софия	LOC	LOC_144
Южна Корея	южен корея	LOC	LOC_60
коронавирус	коронавирус	EVT	EVT_3
коронавируса?Вижте	коронавирус ? видя-(се)	EVT	EVT_214
