039
COVID-19	covid-19	PRO	PRO_105
PCR	pcr	ORG	ORG_175
Бойко Борисов	бойко борисов	PER	PER_30
Борисов	борисов	PER	PER_30
България	българия	LOC	LOC_1
Венцислав Мутафчийски	венцислав мутафчийски	PER	PER_124
ЕС	ес	ORG	ORG_5
Европейския съюз	европейски съюз	ORG	ORG_5
Испания	испания	LOC	LOC_10
Министерството на здравеопазването	министерство на здравеопазване	ORG	ORG_35
Мутафчийски	мутафчийски	PER	PER_125
Националния оперативен щаб	национален оперативен щаб	ORG	ORG_31
Националният оперативен щаб	национален оперативен щаб	ORG	ORG_31
САЩ	сащ	LOC	LOC_69
Сливен	сливен	LOC	LOC_174
Тодор Кантарджиев	тодор кантарджиев	PER	PER_176
Швеция	швеция	LOC	LOC_12
Щаба	щаб	LOC	LOC_127
коронавирус	коронавирус	EVT	EVT_3
