uk-10288
COVID-19	COVID - 19	EVT	EVT_233
Pfizer	Pfizer	ORG	ORG_67
Pfizer/BioNTech	Pfizer/BioNTech	ORG	ORG_67
REUTERS	REUTERS	ORG	ORG_2593
Telegram	Telegram	PRO	PRO_2596
Іспанії	Іспанія	LOC	LOC_10
Італії	Італія	LOC	LOC_50
Австрії	Австрія	LOC	LOC_19
Болгарії	Болгарія	LOC	LOC_1
Всесвітня організація охорони здоров'я	всесвітній організація охорона здоров’я	ORG	ORG_133
Коронавак	Коронавак	PRO	PRO_2707
Німеччині	Німеччина	LOC	LOC_27
ООС	ООС	ORG	ORG_2708
УНІАН	УНІАН	ORG	ORG_268
Угорщині	Угорщина	LOC	LOC_1432
України	Україна	LOC	LOC_318
Франції	Франція	LOC	LOC_20
Чехії	Чехія	LOC	LOC_137
