75
AP	ap	ORG	ORG_451
Amerykanie	Amerykanin	PER	PER_64
Amerykanów	Amerykanin	PER	PER_64
Arizona	Arizon	LOC	LOC_1748
Biden	Biden	PER	PER_3577
Donald Trump	Donald Trump	PER	PER_70
Floryda	Floryda	LOC	LOC_894
Joe Biden	Joe Biden	PER	PER_76
Joe Bidena	Joe Biden	PER	PER_76
Kalifornia	Kalifornia	LOC	LOC_102
Karolina Północna	Karolina Północny	LOC	LOC_168
Michigan	Michigan	LOC	LOC_99
Ohio	Ohio	LOC	LOC_1736
Oklahoma	Oklah	LOC	LOC_520
Pensylwania	Pensylwania	LOC	LOC_2427
Polsce	Polska	LOC	LOC_107
Republikanów	republikanin	LOC	LOC_4605
Teksas	Teksas	LOC	LOC_1022
Trump	Trump	PER	PER_977
USA	USA	LOC	LOC_69
bastion Demokratów	bastion demokrata	LOC	LOC_4623
republikanin	republikanin	PER	PER_1985
