46
AP	ap	ORG	ORG_451
Bidena	Biden	PER	PER_3577
CNN	CNN	PRO	PRO_243
Donald Trump	Donald Trump	PER	PER_70
Donalda Trumpa	Donald Trump	PER	PER_70
Florydzie	Floryda	LOC	LOC_894
Hillary Clinton	Hillary Clinton	PER	PER_2175
Joe Biden	Joe Biden	PER	PER_76
Karolinie Północnej	Karolin północny	LOC	LOC_168
Miami	Miami	LOC	LOC_3368
Ohio	Ohio	LOC	LOC_1736
Orlando	Orlando	LOC	LOC_4575
Trumpa	Trump	PER	PER_977
Vermoncie	Vermont	LOC	LOC_4576
Wirginia Zachodnia	Wirginia Zachodni	LOC	LOC_3373
Wirginii Zachodniej	Wirginia Zachodni	LOC	LOC_3373
republikanów	republikanin	PER	PER_1985
